Store Name,City,Address,Rating,Hours,Phone,Website,Social Media Links,Services,Sports/TCG Available,lat,lng
Mintink Ajax,Ajax,"1965 Salem Rd N Unit #3, Ajax, ON L1T 0J9",,,,https://www.mintink.ca,https://instagram.com/mintink10,Sells;Sells Wax;Trade Nights,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,43.89700,-79.02875
Rival Cards,Ajax,"100 Westney Rd S Unit 14, Ajax, ON L1S 7H3",,,905-426-2451,https://rivalcards.com,https://instagram.com/rivalcards,Buys;Sells;Trades Singles;Grading Services;Sells Wax;Trade Nights,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,43.84718,-79.04054
TheSix YGO,Ajax,"25 Watersplace Ave, Ajax, ON L1Z 0H5, Canada",,,647-770-8277,,,,,43.89833,-79.02581
Box Of Cards (Sports Cards),Aurora,"41 Industrial Pkwy S, Aurora, ON L4G 3Y5",,,(905) 713-1734,http://www.boxofcards.ca/,,,Hockey;Baseball;Basketball;Football,43.99957,-79.45808
Big B Comics,Barrie,"45 Essa Rd, Barrie, ON L4N 3K4",,,(705) 739-1513,http://www.bigbbarrie.com/,,,Pokemon;Magic;Other,44.37306,-79.69191
Box Of Cards (Sports Cards),Barrie,"12 Commerce Park Dr c, Barrie, ON L4N 8W8",,,(249) 388-3009,https://boxofcards.ca/,,,Hockey;Baseball;Basketball;Football,44.33042,-79.68691
Doug Laurie Sports,Barrie,"Bayfield Mall, Rear entrance by MTO & Bowlerama Back of mall behind Canadian Tire, 320 Bayfield St Unit 107, Barrie, ON L4M 3C1",,,(705) 503-2800,http://www.douglauriesports.com/,,,Hockey;Baseball;Basketball;Football,44.40088,-79.70312
Gamer's Lair Ltd.,Barrie,"274 Burton Ave Unit 33, Barrie, ON L4N 5W4",,,(705) 481-7774,http://www.gamerslair.ca/,,,Pokemon;Magic;Other,44.36994,-79.67323
Ideal Hobbies,Barrie,"12 Commerce Park Dr, Barrie, ON L4N 8W8, Canada",,,705-725-9965,http://www.idealhobbies.com/,,,Pokemon;Magic;Other,44.33042,-79.68691
Loot Kingdom,Barrie,"159A Anne St S, Barrie, ON L4N 2E4",,,(705) 730-0088,http://www.lootkingdom.com/,,,,44.37193,-79.69647
Northern realm cards comics and games,Barrie,,,,(705) 220-3819,,,,Pokemon;Magic;Other,,
OMG Games,Barrie,"130 Bell Farm Rd Unit#10, Barrie, ON L4M 6J4",,,(705) 721-4263,http://www.omggames.ca/,,,Pokemon;Magic;Other,44.41110,-79.67670
Pokémon TCG Store,Barrie,"1 Irish Ln, Barrie, ON L4M 6H8",,,(202) 643-0559,https://wa.me/message/4G23PO7DGGGFE1,,,Pokemon;Magic;Other,44.40268,-79.66259
Power Up Gaming,Barrie,"490 Mapleview Dr W #5, Barrie, ON L4N 6C3",,,(705) 503-4263,http://www.powerupgaming.ca/,,,Pokemon;Magic;Other,44.32675,-79.72568
Retro Chase Games,Barrie,,,,(705) 252-4273,https://www.facebook.com/Retro-Chase-Games-106143135018214/,,,Pokemon;Magic;Other,,
Sell Your Pokemon Cards,Barrie,"22024 RPO, Big Bay Point Rd, Barrie, ON L4N 0Z5",,,(647) 564-8344,https://ca.sellccg.com/location/,,,Pokemon,44.36816,-79.63013
Sir Games-A-Lot,Barrie,"320 Bayfield St, Barrie, ON L4M 3C1",,,(705) 719-1291,,,,Pokemon;Magic;Other,44.40088,-79.70312
Video Time,Barrie,"157 Bayfield St, Barrie, ON L4M 3B4",,,(705) 722-7383,http://www.videotime.ca/,,,,44.39439,-79.69395
Stephen Licence Bicycles & Hobbies,Belleville,"288 Front St, Belleville, ON K8N 2Z8, Canada",,,613-966-6900,https://stephenlicence.my.canva.site/stephenlicence/,,,Pokemon;Magic;Other,44.16604,-77.38546
Mint Sports Cards & Collectibles,Bolton,"18 King St E D7, Bolton, ON L7E 1E8",,,(647) 335-8142,http://www.mintsportscardsandcollectibles.com/,,,Hockey;Baseball;Basketball;Football,43.87998,-79.73717
Cardboard Memories Inc.,Brampton,"Brampton, ON (Heart Lake District)",,,,https://www.cardboardmemories.ca,https://www.facebook.com/cardboard.memories,Buys;Sells;Sells Wax;Trade Nights,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,50.99092,-87.58370
Doe's Cards,Brampton,"1-62 Commuter Dr, Brampton, ON L7A 2W3",,,905-843-5551,https://doescards.ca,https://instagram.com/doescards,Sells;Sells Wax,Hockey;Baseball;Basketball;Football;Pokemon;Other,43.67783,-79.82434
Dragon World Card Games & Collectibles,Brampton,"22 Main St S, Brampton, ON L6W 2C3",,,905-965-0965,https://dragontcg.crystalcommerce.com,https://www.facebook.com/dragonworldgames,Sells,Pokemon;Magic;Other,43.68559,-79.75913
FeARoCards,Brampton,"Meltwater Cres, Brampton, ON L6P 3W6",,,(647) 786-5408,https://fearocards.ca/,,,,43.79480,-79.67521
Gateway Cards & Sports,Brampton,"499 Main St S Unit 58 (Shoppers World), Brampton, ON L6Y 1N7",,,,https://www.gatewaycards.ca,,Sells;Sells Wax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,43.66598,-79.73763
Rolls and Realms Inc.,Brantford,"207 Colborne St W #1, Brantford, ON N3T 1L6",,,(519) 494-0606,https://www.rollsandrealms.ca/,,,,43.13175,-80.28020
Breakers Choice,Burlington,"431 Brock Ave, Burlington, ON L7S 1M8",,,905-333-8926,https://breakerschoice.com,,Buys;Sells;Trades Singles,Hockey;Baseball;Basketball;Football;Other,43.32069,-79.80154
Hall Of Fame Collection,Burlington,"1220 Corporate Dr, Burlington, ON L7L 5R7",,,,http://racinghalloffamecollection.com/,,,,43.38169,-79.78535
Forbes Hobbies,Cambridge,"626 King St E, Cambridge, ON N3H 3N6",,,,https://www.forbeshobbies.ca,https://www.facebook.com/forbes.hobbies,Sells;Trade Nights,Magic;Pokemon;Other,43.39606,-80.35938
MK Kards,Cambridge,"48 Queen St E Unit 11, Cambridge, ON N3C 2A8",,,519-260-2646,https://mkkards.com,,Sells,Hockey;Other;Pokemon,43.43212,-80.30866
Kwon & Tin's Hobby Shop,Concord,"14 Connie Crescent Unit 5, Concord, ON L4K 1L6, Canada",,,,,,,Pokemon;Magic;Other,43.82110,-79.48935
Total Sports Cards & Collectibles,Etobicoke,"3505 Lake Shore Blvd W, Etobicoke, ON",,,905-808-4560,https://totalsportcards.com,https://www.instagram.com/totalsportscardss,Sells,Hockey;Baseball;Basketball;Football;Pokemon;Other,43.59470,-79.53163
BFireBallDragon,Greater Sudbury,"1490 Main St, Val Caron, ON P3N 1P8",,,(226) 201-3662,http://bfireballdragon.com/,,,Pokemon;Magic;Other,46.61059,-81.00275
Card Chop 77,Greater Sudbury,"Ravina Ave, Greater Sudbury, ON P3L 1A7",,,(705) 207-2398,,,,,46.56080,-80.86892
Comics North,Greater Sudbury,"106 Elm St, Greater Sudbury, ON P3C 1T5",,,(705) 674-1015,https://www.facebook.com/comicsnorthhiddenlevelgames/,,,Pokemon;Magic;Other,46.49327,-80.99861
Diadem Cards & Hobbies,Greater Sudbury,"166 Douglas St W, Greater Sudbury, ON P3E 1G1",,,(705) 815-2273,https://231405-3.myshopify.com/,,,Pokemon;Magic;Other,46.48604,-81.00181
Docs hobby shop,Greater Sudbury,"92 Kitchener Ave, Greater Sudbury, ON P3B 2Y8, Canada",,,705-671-6111,https://docs-hobby-shop.myshopify.com/,,,Pokemon;Magic;Other,46.49499,-80.97885
Great Canadian Card Co,Greater Sudbury,"Sudbury, ON P3A 1Z6",,,705-566-5093,,,Sells,Hockey;Baseball;Basketball;Football;Other,46.52430,-80.90196
Great Canadian Games & Hobbies,Greater Sudbury,"1410 Lasalle Blvd, Greater Sudbury, ON P3A 1Z6",,,(705) 566-5093,https://www.facebook.com/GreatCanadianGames/,,,Pokemon;Magic;Other,46.52217,-80.94473
Great White North Pottery Supplies,Greater Sudbury,"1305 Kelly Lake Rd Unit 3, Greater Sudbury, ON P3E 5P5",,,(705) 586-1080,http://www.gwnpottery.ca/,,,,46.46502,-81.03106
Nepal Handicrafts,Greater Sudbury,"Unit 159, Elm Place, Downtown Mall, 40 Elm St, Greater Sudbury, ON P3C 1S8",,,(705) 673-7149,http://www.nepalhandicraftsontario.com/,,,,46.49392,-80.99273
Retro Relics,Greater Sudbury,"4764 Regional Rd 15, Chelmsford, ON P0M 1L0",,,(705) 929-8622,https://www.facebook.com/profile.php?id=61550925574309&mibextid=9R9pXO,,,,46.57095,-81.18314
Slab Labs TCG,Greater Sudbury,"4665 Notre Dame Ave, Hanmer, ON P3P 1X5",,,(705) 988-0688,http://slablabstcg.com/,,,Pokemon;Magic;Other,46.65572,-80.94513
Valixya,Greater Sudbury,"1861 Lasalle Blvd, Greater Sudbury, ON P3A 2A3",,,(249) 360-5255,https://valixya.ca/,,,,46.52178,-80.92960
Brodie's Gaming,Guelph,"304 Stone Rd W #10, Guelph, ON N1G 3C4",,,(519) 831-3144,http://brodiesgaming.ca/,,,Pokemon;Magic;Other,43.51810,-80.23411
Cameron Cards,Guelph,"55 Castlebury Dr, Guelph, ON N1K 1X2",,,(519) 822-2131,,,,,43.52812,-80.27282
Microplay Video Games & Collectibles,Guelph,"130 Silvercreek Pkwy N, Guelph, ON N1H 7Y5",,,(519) 823-2622,https://microplayvideogames.ca/,,,Pokemon;Magic;Other,43.54026,-80.28167
